eSLDB code	Original Database Code	SwissProt entry	SwissProt homologue	Prediction
CE000002893	F58G4.1	None	MYH8_MOUSE	Nucleus
CE000002893	F58G4.1	None	MYH4_HUMAN	Nucleus
CE000002893	F58G4.1	None	MYH6_RAT	Nucleus
CE000002893	F58G4.1	None	MYH11_HUMAN	Nucleus
CE000002893	F58G4.1	None	MYO2_CAEEL	Nucleus
CE000002893	F58G4.1	None	MYH1_MOUSE	Nucleus
CE000002893	F58G4.1	None	MYH13_HUMAN	Nucleus
CE000024831	T21B4.2	None	None	Transmembrane
CE000018455	E01A2.1	None	AK1C4_HUMAN	Secretory
CE000007181	R13A1.3	None	None	Nucleus
CE000006928	B0496.4	None	None	Cytoplasm
CE000015635	Y57E12AR.1	None	TFPI2_BOVIN	None
CE000024425	T05B4.7	None	None	Transmembrane
CE000020462	ZK669.2	None	GILT_HUMAN	Transmembrane
CE000019952	R151.9	None	None	Secretory
CE000011667	Y37H9A.1a	None	None	Cytoplasm
CE000012664	C28C12.7b	None	SAP_BOVIN	Nucleus
CE000012291	F36G9.2	None	None	Transmembrane
CE000022361	T06G6.8	None	None	Cytoplasm
CE000016971	Y71F9AR.3	None	None	Mitochondrion
CE000018447	F02D8.2	None	None	Secretory
CE000011361	Y32B12B.1	None	None	Transmembrane
CE000000798	F13A7.12	None	None	Transmembrane
CE000023434	F28B12.2f.2	None	EGL44_CAEEL	None
CE000023435	F28B12.2f.1	None	EGL44_CAEEL	None
CE000018156	F56H1.2	None	FTF1B_DROME	Secretory
CE000025360	B0432.1	None	None	Transmembrane
CE000022296	C35B8.1	None	None	Cytoplasm
CE000010772	C18A3.4c	None	None	Transmembrane
CE000020375	F37F2.2	SRP19_CAEEL	SRP19_MOUSE	Cytoplasm
CE000015534	C24H10.4	None	None	Nucleus
CE000005805	F59E11.1	None	None	Transmembrane
CE000021945	C23G10.2a.1	None	UK114_HUMAN	Mitochondrion
CE000021944	C23G10.2a.2	None	UK114_HUMAN	Secretory
CE000021350	F26A3.5	None	None	Secretory
CE000020682	F56D5.5	None	None	Secretory
CE000020149	F53B6.2a	None	ATS13_HUMAN	Cytoplasm
CE000009590	ZK563.4b	None	None	Transmembrane
CE000001465	Y45F10B.13b	None	None	Transmembrane
CE000020799	F23H11.4b	None	None	Cytoplasm
CE000006019	F58F12.3	None	None	Secretory
CE000003056	Y46G5A.1b.2	None	TBC10_HUMAN	Cytoplasm
CE000003058	Y46G5A.1b.1	None	TBC10_HUMAN	Nucleus
CE000006511	ZK328.7a	None	None	Cytoplasm
CE000017800	T18D3.8	None	None	Nucleus
CE000006041	T10H10.1	None	MYO15_HUMAN	Cytoplasm
CE000019202	R04A9.7	None	KS6B1_RAT	None
CE000008937	Y57A10A.11	None	None	Transmembrane
CE000025351	F33D4.2d	None	ITPR1_HUMAN	Transmembrane
CE000025351	F33D4.2d	None	ITPR_DROME	Transmembrane
CE000025351	F33D4.2d	None	ITPR3_BOVIN	Transmembrane
CE000025351	F33D4.2d	None	ITPR1_MOUSE	Transmembrane
CE000025351	F33D4.2d	None	ITPR3_HUMAN	Transmembrane
CE000025351	F33D4.2d	None	ITPR3_MOUSE	Transmembrane
CE000025351	F33D4.2d	None	ITPR1_RAT	Transmembrane
CE000025351	F33D4.2d	None	ITPR2_MOUSE	Transmembrane
CE000002514	Y49F6B.4	None	RED_MOUSE	Secretory
CE000022374	R06B9.2	None	None	Nucleus
CE000019801	F23C8.6	None	CHM1B_HUMAN	Cytoplasm
CE000018076	T04D3.5	None	None	Cytoplasm
CE000000751	D1044.8	None	NEK6_MOUSE	Cytoplasm
CE000001471	C25H3.5	None	None	Mitochondrion
CE000011987	C06G3.7	None	TRXR1_MOUSE	Cytoplasm
CE000005281	W06A7.2	None	None	Transmembrane
CE000008838	C23H5.7	None	CNGA2_RAT	Transmembrane
CE000018797	R08H2.3	None	None	Transmembrane
CE000023129	F28E10.1b.1	None	None	None
CE000023130	F28E10.1b.2	None	None	None
CE000016438	Y69E1A.2	None	None	Nucleus
CE000017522	Y50E8A.11	None	None	Transmembrane
CE000010315	T04F3.4	None	MCFD2_HUMAN	Mitochondrion
CE000013193	B0252.4b	None	PPIL2_HUMAN	Cytoplasm
CE000000134	K12H4.6	None	None	Secretory
CE000005831	Y71F9B.14	None	None	Cytoplasm
CE000014240	R07E5.11	None	None	Secretory
CE000020973	F56H9.6	None	None	None
CE000004209	Y47D9A.2a	None	TIM50_HUMAN	Cytoplasm
CE000008507	R07B1.5	None	None	Secretory
CE000023033	T20D4.11	None	None	Secretory
CE000016745	6R55.1a	None	None	Transmembrane
CE000018812	Y57G11C.2	None	ACH2_DROME	Transmembrane
CE000000188	F45D11.8	None	None	Cytoplasm
CE000008113	R06C7.7.1	None	LMBTL_HUMAN	Nucleus
CE000015319	Y57A10B.5	None	None	Transmembrane
CE000022285	T23B12.10	None	None	Secretory
CE000016391	ZC168.6	None	None	Secretory
CE000005735	T12A2.9	SRG8_CAEEL	None	Transmembrane
CE000011112	Y57A10C.10	None	None	Transmembrane
CE000022340	C08E3.12	None	None	Secretory
CE000006902	F08A10.1d	None	KCNN2_MOUSE	Transmembrane
CE000006902	F08A10.1d	None	KCNN2_RAT	Transmembrane
CE000006902	F08A10.1d	None	KCNN2_HUMAN	Transmembrane
CE000025583	T02G5.12	None	MOT7_HUMAN	Transmembrane
CE000021925	T28B4.1b	None	FXL20_RAT	Nucleus
CE000000456	Y75B8A.6	None	DNMT1_MOUSE	Cytoplasm
CE000015804	F32B6.1.1	NHR4_CAEEL	HNF4A_RAT	Secretory
CE000025582	F32B6.1.2	NHR4_CAEEL	HNF4A_RAT	Nucleus
CE000010301	Y39G10AR.18b	None	None	Nucleus
CE000000236	ZK1248.9	None	None	Nucleus
CE000001421	K02B12.4	None	None	Secretory
CE000005633	B0350.2e.1	None	TNKS2_HUMAN	None
CE000005632	B0350.2e.2	None	TNKS2_HUMAN	None
CE000006521	F58H1.5.1	None	None	Transmembrane
CE000006522	F58H1.5.2	None	None	Transmembrane
CE000003285	C16C10.13	None	None	Secretory
CE000013099	T14B4.1	None	None	Secretory
CE000004407	T21C9.4	None	None	Cytoplasm
CE000004423	K08D10.10	None	None	Transmembrane
CE000004734	C01C10.2b	None	None	Cytoplasm
CE000019311	H24D24.2	None	None	Transmembrane
CE000002558	K04H4.6b	None	DNS2A_MOUSE	Nucleus
CE000006492	T19C4.1	None	None	Transmembrane
CE000001028	H27M09.3	None	None	Nucleus
CE000016186	F32A7.2	None	None	Transmembrane
CE000010535	Y73B6BL.11	None	None	Transmembrane
CE000023303	T22G5.3	None	None	Cytoplasm
CE000022133	B0545.3	None	CRVP_OPHHA	Secretory
CE000013154	C17C3.2	None	None	Cytoplasm
CE000017922	C17C3.13	None	None	Cytoplasm
CE000002692	ZK177.8b.1	None	None	Nucleus
CE000004515	ZK177.8b.2	None	None	Cytoplasm
CE000010263	F37A4.7d	None	DOC2B_RAT	Secretory
CE000010589	F10A3.12	None	None	Transmembrane
CE000016115	C03G6.12	None	RXRAB_BRARE	Nucleus
CE000006309	F33C8.3	None	CD53_HUMAN	Transmembrane
CE000006001	H27D07.6	None	None	Transmembrane
CE000024840	R153.1d	None	PDE4D_RAT	Nucleus
CE000018832	Y26D4A.4	None	None	Cytoplasm
CE000017951	Y77E11A.3	None	None	Nucleus
CE000005327	T19B10.9	None	None	Cytoplasm
CE000011003	B0238.11.1	None	None	Secretory
CE000011002	B0238.11.2	None	None	Nucleus
CE000007994	T03F7.5	None	None	Transmembrane
CE000011854	F36A4.10	None	None	Transmembrane
CE000001331	T24H7.5a	None	AT10A_MOUSE	Transmembrane
CE000023980	C11H1.8	None	None	Secretory
CE000020201	Y69A2AR.13	None	None	Secretory
CE000009662	K07C11.4	None	EST1_CAEBR	Nucleus
CE000017082	F49A5.8	None	CLTR1_RAT	Transmembrane
CE000017082	F49A5.8	None	CLTR1_MOUSE	Transmembrane
CE000020133	Y73F4A.1	None	None	Nucleus
CE000015869	Y32G9A.11	None	None	Cytoplasm
CE000013242	Y50D4B.1	None	None	Secretory
CE000009676	Y67D8A.1.1	None	None	Secretory
CE000009670	Y67D8A.1.2	None	None	Nucleus
CE000009561	Y102E9.3	None	None	Cytoplasm
CE000010426	ZC410.3	None	MA1B1_HUMAN	Nucleus
CE000008005	C45B2.3	None	None	Secretory
CE000010956	C09F5.1	None	None	Transmembrane
CE000023270	F31F6.3	None	None	Secretory
CE000025307	C32B5.16	None	None	Secretory
CE000006915	C52D10.12.1	None	None	Transmembrane
CE000006916	C52D10.12.2	None	None	Transmembrane
CE000021851	F14D12.1b	None	None	Nucleus
CE000004756	Y47D3B.4	None	None	Secretory
CE000017905	R05H10.2	None	RBM28_HUMAN	Secretory
CE000015231	H05L14.2	None	None	Cytoplasm
CE000020983	C53D5.1c.1	None	None	None
CE000020984	C53D5.1c.2	None	None	None
CE000021164	M05B5.5a.1	None	TFE2_HUMAN	Cytoplasm
CE000021165	M05B5.5a.2	None	TFE2_HUMAN	Nucleus
CE000002520	R09D1.9	None	CH3L1_HUMAN	Transmembrane
CE000016069	F55H2.7	None	None	Cytoplasm
CE000015362	F35A5.3	None	None	Nucleus
CE000005973	R144.3	None	None	Secretory
CE000014608	R03G8.6	None	LCAP_RAT	Cytoplasm
CE000002275	K06A9.1a	None	None	Cytoplasm
CE000002483	W09C5.7	None	SYNJ1_BOVIN	Cytoplasm
CE000010940	ZK622.4.2	None	None	None
CE000010939	ZK622.4.1	None	None	None
CE000021415	T16H12.5b.2	None	SPOP_HUMAN	Cytoplasm
CE000021415	T16H12.5b.2	None	SPOP_MOUSE	Cytoplasm
CE000021414	T16H12.5b.1	None	SPOP_HUMAN	Mitochondrion
CE000021414	T16H12.5b.1	None	SPOP_MOUSE	Mitochondrion
CE000021416	T16H12.5b.3	None	SPOP_HUMAN	Cytoplasm
CE000021416	T16H12.5b.3	None	SPOP_MOUSE	Cytoplasm
CE000000624	ZK180.4	None	SAR1B_MOUSE	Nucleus
CE000021246	Y47H9C.4c	None	TENX_HUMAN	Transmembrane
CE000006584	C33A12.2	None	None	Secretory
CE000025256	Y34B4A.4a	None	RPGF3_HUMAN	Cytoplasm
CE000008746	D1014.6	None	None	Cytoplasm
CE000007690	C48E7.9	None	KCNKF_HUMAN	Transmembrane
CE000013717	Y41D4B.15	None	None	Cytoplasm
CE000003852	F26H9.8	None	UGGG1_RAT	Cytoplasm
CE000000730	C37C3.6c.2	None	ATL1_HUMAN	Nucleus
CE000000732	C37C3.6c.1	None	ATL1_HUMAN	Nucleus
CE000007349	F16B4.9	None	PPARB_XENLA	Cytoplasm
CE000010110	F15D4.8	None	None	Cytoplasm
CE000006113	Y41D4A.8	None	FMAR_DROME	Transmembrane
CE000005461	Y25C1A.10	None	None	Transmembrane
CE000015426	C32A3.2	None	None	Transmembrane
CE000004558	E04F6.8.1	None	None	Cytoplasm
CE000004559	E04F6.8.2	None	None	Cytoplasm
CE000024852	C17A2.5	None	None	Transmembrane
CE000018719	T08G5.10	None	None	Secretory
CE000016321	F22B3.4	None	None	Secretory
CE000024940	ZK328.2	None	U5S1_MOUSE	Nucleus
CE000024940	ZK328.2	None	U5S1_HUMAN	Nucleus
CE000014703	C03A7.10	None	None	Transmembrane
CE000018152	Y105C5A.1	None	None	Secretory
CE000000718	F14F8.8	None	None	Cytoplasm
CE000024613	C14F11.7	None	None	Cytoplasm
CE000010175	ZK154.1	None	None	Secretory
CE000016429	F33H12.1	None	None	Nucleus
CE000022091	C14B9.6b	GEI8_CAEEL	NCOR1_MOUSE	Transmembrane
CE000007290	F09G2.1	None	EGL15_CAEEL	Transmembrane
CE000022508	C44B7.5	None	None	Secretory
CE000018142	D2005.5	None	LGP2_MOUSE	Cytoplasm
CE000024979	F22B8.7	None	None	Cytoplasm
CE000010196	Y48E1C.3	None	TBCD1_MOUSE	Transmembrane
CE000009202	C25D7.10	None	None	Transmembrane
CE000014986	M01D1.8	None	None	Cytoplasm
CE000001906	K03H9.1	None	None	Cytoplasm
CE000011492	Y82E9BR.11	None	None	Secretory
CE000017763	C24B9.10	None	None	Transmembrane
CE000009469	Y51H7C.5	None	None	Nucleus
CE000025790	ZK858.2	None	None	Secretory
CE000015798	F09F3.7	None	None	Transmembrane
CE000009267	T23H2.5	None	RAB13_HUMAN	Nucleus
CE000009932	T08A9.10	None	None	Mitochondrion
CE000002068	B0412.3.1	None	None	Nucleus
CE000025033	Y37A1A.2	None	None	Transmembrane
CE000015661	F21C3.4b	None	None	None
CE000024584	H23L24.5	None	PARG_HUMAN	Secretory
CE000013543	C36B1.9	None	TRI35_MOUSE	Nucleus
CE000021957	C24H12.4b	None	DDX56_HUMAN	Nucleus
CE000025034	Y37A1A.3	None	GTR9_HUMAN	Transmembrane
CE000023733	F20D6.4c	None	ACH2_BOMMO	Secretory
CE000023733	F20D6.4c	None	NEUS_MOUSE	Secretory
CE000025619	F32A5.2a	None	PERE_MOUSE	Nucleus
CE000001896	F56D2.6a	DHX15_CAEEL	DHX16_HUMAN	Mitochondrion
CE000001896	F56D2.6a	DHX15_CAEEL	DHX15_MOUSE	Mitochondrion
CE000001896	F56D2.6a	DHX15_CAEEL	DHX15_HUMAN	Mitochondrion
CE000001896	F56D2.6a	DHX15_CAEEL	DHX16_PANTR	Mitochondrion
CE000001896	F56D2.6a	DHX15_CAEEL	DHX8_HUMAN	Mitochondrion
CE000005803	Y54G2A.9	None	LECG_TRIST	Cytoplasm
CE000013383	C35A11.2	None	None	Secretory
CE000020999	MTCE.31	None	COX2_CAEEL	None
CE000016037	T23E7.2a	None	None	Cytoplasm
CE000001053	Y39B6A.17b	None	SHR2_STRPU	Cytoplasm
CE000018992	F21C3.6	None	None	Mitochondrion
CE000006096	W04E12.3	None	None	Transmembrane
CE000001202	C18A3.5b	None	TIAR_HUMAN	Nucleus
CE000018626	Y22D7AR.14	None	None	Transmembrane
CE000022346	F43G9.4	None	None	Secretory
CE000009834	H31G24.3	None	None	Nucleus
CE000006570	D1005.1	ACLY_CAEEL	ACLY_HUMAN	Cytoplasm
CE000006570	D1005.1	ACLY_CAEEL	ACLY_RAT	Cytoplasm
CE000010435	C28D4.2	None	CHKA_HUMAN	Secretory
CE000012647	F58A4.11	None	None	Transmembrane
CE000002974	F55C9.1	None	None	Mitochondrion
CE000014806	ZK666.5	None	None	Cytoplasm
CE000015868	W03F9.1	ZPR1_CAEEL	ZPR1_HUMAN	Mitochondrion
CE000007120	Y106G6A.2a	None	None	Nucleus
CE000025222	Y71H2AM.2	None	TM55A_HUMAN	Transmembrane
CE000022699	F59C12.2b.2	None	5HT2B_TETFL	None
CE000022698	F59C12.2b.1	None	5HT2B_TETFL	None
CE000015057	C28F5.4	None	IDE_RAT	Secretory
CE000022721	F54C9.11	None	RAB3I_HUMAN	Nucleus
CE000005881	K01A2.9	None	None	Transmembrane
CE000011687	T07H8.4f.2	None	TFPI2_BOVIN	Nucleus
CE000011686	T07H8.4f.1	None	TFPI2_BOVIN	Nucleus
CE000009604	F07A11.6a	None	MINT_HUMAN	Cytoplasm
CE000009604	F07A11.6a	None	MINT_MOUSE	Cytoplasm
CE000015177	K09H9.2	None	None	Cytoplasm
CE000023396	C37H5.4	None	None	Nucleus
CE000011521	T06C12.14	None	None	Nucleus
CE000008248	R10H1.2a	None	None	None
CE000023386	F18A1.3a.2	None	None	None
CE000023387	F18A1.3a.1	None	None	None
CE000022002	C50E3.1	None	None	Cytoplasm
CE000003897	Y73B6BL.30	None	BL1S2_HUMAN	Cytoplasm
CE000021400	T20H9.3	None	None	Secretory
CE000020088	F46F6.1a.1	None	MTMRD_HUMAN	Transmembrane
CE000020089	F46F6.1a.2	None	MTMRD_HUMAN	Transmembrane
CE000002703	C09H5.9	None	None	Transmembrane
CE000010239	K06H7.7	None	None	Nucleus
CE000014172	R09B3.3.1	None	CSTFT_MOUSE	Secretory
CE000014173	R09B3.3.2	None	CSTFT_MOUSE	Secretory
CE000021175	F23H12.3	None	None	Transmembrane
CE000025380	K11G9.1	None	EST2_CAEEL	Nucleus
CE000012536	ZK643.2	None	None	Secretory
CE000009237	F16B4.2b	None	None	Nucleus
CE000003259	C45E1.4	None	None	Transmembrane
CE000010089	C48B4.7	None	None	Transmembrane
CE000010159	K09E2.2	None	None	Cytoplasm
CE000019617	F45E6.2	None	None	Secretory
CE000017629	C29F9.3c	None	None	Secretory
CE000015162	Y15E3A.1a.1	NHR91_CAEEL	HR4_DROME	Cytoplasm
CE000015163	Y15E3A.1a.2	NHR91_CAEEL	HR4_DROME	Cytoplasm
CE000019353	M163.8	None	None	Nucleus
CE000022226	T23D8.4.2	None	None	Secretory
CE000022225	T23D8.4.1	None	None	Secretory
CE000012443	F48A11.1	None	None	Transmembrane
CE000018218	H14E04.2c	None	None	Secretory
CE000012934	F53E10.2b	None	ACHA6_RAT	Transmembrane
CE000012934	F53E10.2b	None	ACHA6_MOUSE	Transmembrane
CE000014676	D1054.9e	None	None	None
CE000024434	Y68A4B.2	None	None	Cytoplasm
CE000001580	F56A3.4	SPD5_CAEEL	SPD5_CAEEL	Cytoplasm
CE000003227	C45G9.5	None	None	Cytoplasm
CE000019017	F33G12.6a	None	None	Secretory
CE000000676	F46B3.3	None	None	Cytoplasm
CE000009416	F49C12.7	None	None	Nucleus
CE000012626	C53H9.1.1	None	None	Secretory
CE000012623	C53H9.1.2	None	None	Cytoplasm
CE000025460	F32G8.6	None	None	Nucleus
CE000006234	Y82E9BL.6	None	None	Transmembrane
CE000016042	C27A2.3	None	None	Cytoplasm
CE000018434	Y22D7AR.2	None	None	Transmembrane
CE000001130	F08A8.3	None	ACOX1_RAT	Cytoplasm
CE000009619	Y50D4A.4	None	None	Cytoplasm
CE000008482	R166.3	None	None	Cytoplasm
CE000001674	W01A8.3	None	CUT1_CAEEL	Secretory
CE000007568	ZC455.1	None	None	Nucleus
CE000003727	C53B7.3	None	None	Secretory
CE000003787	T09A5.9.2	None	PP1R7_RAT	Mitochondrion
CE000003788	T09A5.9.1	None	PP1R7_RAT	Secretory
CE000003786	T09A5.9.3	None	PP1R7_RAT	Mitochondrion
CE000014549	Y37H2A.7	None	None	Cytoplasm
CE000008617	K07A3.3b	None	CLPX_HUMAN	Nucleus
CE000018767	Y73B3B.1	None	PLST_HUMAN	Cytoplasm
CE000014361	T05G5.4	None	None	Mitochondrion
CE000003260	F11A1.3c	None	HR96_DROME	Secretory
CE000009049	W03G1.1	None	EAA1_CAEEL	Transmembrane
CE000005307	Y110A7A.10	None	DRK_DROME	Secretory
CE000013209	Y41E3.11	None	HNRL1_HUMAN	Cytoplasm
CE000012540	ZK643.5	None	None	Nucleus
CE000001494	T26H5.5	None	FMAR_DROME	Transmembrane
CE000001408	F10E7.1	None	None	Mitochondrion
CE000023014	T01B10.1	None	None	Secretory
CE000022160	F40B5.2b	None	None	Transmembrane
CE000018344	K07A3.3a	None	CLPX_HUMAN	Cytoplasm
CE000019786	T05C1.1	None	None	Cytoplasm
CE000018435	Y22D7AR.3	None	None	Secretory
CE000005416	Y87G2A.17	None	SHB_HUMAN	Nucleus
CE000025823	C17H12.4	None	EST22_MOUSE	Transmembrane
CE000011851	F36A4.14	None	RXRA_XENLA	Secretory
CE000022323	C18G1.5	None	H11_CAEEL	Nucleus
CE000022323	C18G1.5	None	H12_CAEEL	Nucleus
CE000011688	F01F1.12a.1	None	None	Nucleus
CE000011691	F01F1.12a.2	None	None	Cytoplasm
CE000011690	F01F1.12a.3	None	None	Nucleus
CE000004900	F37A4.4	None	None	Transmembrane
CE000023782	C24B5.2a	None	SPAST_HUMAN	Secretory
CE000010297	C26E6.8.1	None	ULA1_HUMAN	Mitochondrion
CE000006912	C26E6.8.2	None	ULA1_HUMAN	Secretory
CE000015638	C07A9.2.2	G10_CAEEL	None	Cytoplasm
CE000015636	C07A9.2.1	G10_CAEEL	None	Nucleus
CE000004797	Y49C4A.8a	None	UD19_HUMAN	Transmembrane
CE000021715	Y59A8B.8	None	SNAG_BOVIN	Nucleus
CE000014464	F52B11.1a.3	None	CXCC1_HUMAN	Nucleus
CE000014465	F52B11.1a.1	None	CXCC1_HUMAN	Cytoplasm
CE000014463	F52B11.1a.2	None	CXCC1_HUMAN	Mitochondrion
CE000010450	ZK1127.12	None	None	Nucleus
CE000012582	M01H9.3b	None	None	Cytoplasm
CE000004251	F49H6.13	None	None	Transmembrane
CE000001769	R09F10.3.2	None	None	Cytoplasm
CE000001768	R09F10.3.1	None	None	Mitochondrion
CE000000897	C32D5.8a.1	None	None	Nucleus
CE000017648	C32D5.8a.2	None	None	Nucleus
CE000022683	Y48E1A.1b	None	RPA1_DROME	Cytoplasm
CE000015411	F58G6.2	None	None	Transmembrane
CE000014756	C25H3.12	None	None	Secretory
CE000005214	D1081.2	None	SRF_XENLA	Nucleus
CE000009735	K06B4.6	NH268_CAEEL	RARG1_MOUSE	Cytoplasm
CE000016346	F35F10.14	None	None	None
CE000019741	H35B03.1	None	None	Mitochondrion
CE000020171	F58G1.1	None	I2C2_HUMAN	Nucleus
CE000012055	T10C6.10	None	None	Secretory
CE000020390	F48E3.8a	None	TENX_HUMAN	Cytoplasm
CE000015901	F20D6.8	None	GEM_HUMAN	Nucleus
CE000003807	C42C1.11a.2	None	LKHA4_HUMAN	Mitochondrion
CE000017269	C42C1.11a.1	None	LKHA4_HUMAN	Mitochondrion
CE000018562	W02A2.2	None	FAR1_ONCGU	Cytoplasm
CE000017911	ZC317.4	None	None	Transmembrane
CE000016371	C16C8.17	None	None	Cytoplasm
CE000023142	F26D10.3.2	None	GRP78_RAT	Cytoplasm
CE000023141	F26D10.3.1	None	GRP78_XENLA	Cytoplasm
CE000023141	F26D10.3.1	None	HSP7C_CAEEL	Cytoplasm
CE000023141	F26D10.3.1	None	HSP7C_HUMAN	Cytoplasm
CE000023142	F26D10.3.2	None	HSP7D_DROME	Cytoplasm
CE000008702	F26D10.3.3	None	GRP78_XENLA	Cytoplasm
CE000023142	F26D10.3.2	None	GRP78_HUMAN	Cytoplasm
CE000008702	F26D10.3.3	None	HSP7C_HUMAN	Cytoplasm
CE000008702	F26D10.3.3	None	GRP78_CHICK	Cytoplasm
CE000023141	F26D10.3.1	None	GRP78_MESAU	Cytoplasm
CE000008702	F26D10.3.3	None	GRP78_HUMAN	Cytoplasm
CE000008702	F26D10.3.3	None	GRP78_MESAU	Cytoplasm
CE000023141	F26D10.3.1	None	GRP78_CHICK	Cytoplasm
CE000023142	F26D10.3.2	None	GRP78_CHICK	Cytoplasm
CE000023141	F26D10.3.1	None	GRP78_HUMAN	Cytoplasm
CE000023142	F26D10.3.2	None	GRP78_MESAU	Cytoplasm
CE000008702	F26D10.3.3	None	HSP7D_DROME	Cytoplasm
CE000008702	F26D10.3.3	None	HSP7D_CAEEL	Cytoplasm
CE000008702	F26D10.3.3	None	HSP7C_CAEEL	Cytoplasm
CE000023142	F26D10.3.2	None	GRP78_MOUSE	Cytoplasm
CE000023142	F26D10.3.2	None	HSP7C_DROME	Cytoplasm
CE000023141	F26D10.3.1	None	HSP7D_CAEEL	Cytoplasm
CE000023142	F26D10.3.2	None	GRP78_XENLA	Cytoplasm
CE000023142	F26D10.3.2	None	HSP7D_CAEEL	Cytoplasm
CE000008702	F26D10.3.3	None	GRP78_RAT	Cytoplasm
